disease,precautions
Flu,Take rest|Drink warm fluids|Paracetamol|Avoid cold exposure
Migraine,Dark room rest|Avoid loud noise|Stay hydrated|Avoid screen time
Common Cold,Steam inhalation|Warm fluids|Vitamin C|Rest
Viral Fever,Plenty of fluids|Paracetamol|Complete rest|Light food
Dengue,Avoid aspirin|Drink ORS|Rest|Immediate doctor consultation
Malaria,Antimalarial medicines|Use mosquito net|Hydration|Doctor visit
Food Poisoning,ORS solution|Avoid oily food|Probiotics|Rest
Asthma,Avoid allergens|Use inhaler|Breathing exercises|Doctor follow-up
Allergy,Antihistamines|Avoid allergens|Cold compress|Doctor advice
UTI,Drink water|Antibiotics|Hygiene|Doctor consultation
Arthritis,Physiotherapy|Warm compress|Pain relievers|Exercise
COVID-19,Isolation|Mask|Hydration|Medical monitoring
TB,Complete medication course|Nutrition|Rest|Doctor supervision
Heart Disease,Low salt diet|Exercise|Medication|Cardiologist consultation